5390,"52707","52707003","5270700303445","CAMINO A LA PROVIDENCIA","",-92.733330,15.310900
5202,"52707","52707003","5270700303417","MIGUEL HIDALGO","DR BELISARIO DOM�NGUEZ",-92.683690,15.280170
5174,"52707","52707003","5270700303417","DR BELISARIO DOM�NGUEZ","MIGUEL HIDALGO",-92.683690,15.280170
5133,"52707","52707003","5270700303415","CAMINO A MADRONAL","1RA CALLE PONIENTE N",-92.694820,15.285950
5060,"52707","52707003","5270700303415","1RA CALLE PONIENTE N","CAMINO A MADRONAL",-92.694820,15.285950
5017,"52707","52707003","5270700303413","2DA CALLE PONIENTE S","AVENIDA FERROCARRIL S",-92.688270,15.272500
5204,"52707","52707003","5270700303418","2DA CALLE PONIENTE S","AVENIDA FERROCARRIL S",-92.688270,15.272500
4989,"52707","52707003","5270700303413","AVENIDA FERROCARRIL S","2DA CALLE PONIENTE S",-92.688270,15.272500
5205,"52707","52707003","5270700303418","AVENIDA FERROCARRIL S","2DA CALLE PONIENTE S",-92.688270,15.272500
5135,"52707","52707003","5270700303416","CARRETERA EL TESORO-EMBARCADERO LAS GARZAS","4TA CALLE PONIENTE N",-92.696360,15.283690
5136,"52707","52707003","5270700303416","4TA CALLE PONIENTE N","CARRETERA EL TESORO-EMBARCADERO LAS GARZAS",-92.696360,15.283690
4891,"52707","52707003","5270700303412","AVENIDA CENTRAL E","CARRETERA EL TESORO-EMBARCADERO LAS GARZAS",-92.684500,15.287320
4892,"52707","52707003","5270700303412","CARRETERA EL TESORO-EMBARCADERO LAS GARZAS","AVENIDA CENTRAL E",-92.684500,15.287320
4893,"52707","52707003","5270700303412","1RA CALLE ORIENTE N","",-92.694100,15.288310
5061,"52707","52707003","5270700303415","1RA CALLE ORIENTE N","",-92.694100,15.288310
4894,"52707","52707003","5270700303412","","1RA CALLE ORIENTE N",-92.694100,15.288310
5062,"52707","52707003","5270700303415","","1RA CALLE ORIENTE N",-92.694100,15.288310
6783,"52707","52707004","5270700403486","AVENIDA IGNACIO ZARAGOZA","",-92.029610,16.739520
6706,"52707","52707004","5270700403486","","AVENIDA IGNACIO ZARAGOZA",-92.029610,16.739520
7067,"52707","52707004","5270700403514","","AVENIDA 20 DE NOVIEMBRE",-92.034220,16.743040
6998,"52707","52707004","5270700403514","AVENIDA 20 DE NOVIEMBRE","",-92.034220,16.743040
6997,"52707","52707004","5270700403513","CENTRAL","CAMINO A JALISCO",-92.030830,16.731170
6784,"52707","52707004","5270700403513","CAMINO A JALISCO","CENTRAL",-92.030830,16.731170
8480,"52707","52707005","5270700503665","CAMINO A COMUNIDAD EL SUMIDERO","CONSTITUCI�N",-92.814740,17.370320
8463,"52707","52707005","5270700503665","CONSTITUCI�N","CAMINO A COMUNIDAD EL SUMIDERO",-92.814740,17.370320
8603,"52707","52707005","5270700503667","XOCHIMILCO","",-92.815420,17.371640
8462,"52707","52707005","5270700503664","XOCHIMILCO","",-92.815420,17.371640
8493,"52707","52707005","5270700503667","","XOCHIMILCO",-92.815420,17.371640
8442,"52707","52707005","5270700503664","","XOCHIMILCO",-92.815420,17.371640
8441,"52707","52707005","5270700503663","CAMINO A TIERRA MOJADA","CAMINO A SAN ANTONIO TRES PICOS",-92.823000,17.367370
8422,"52707","52707005","5270700503663","CAMINO A SAN ANTONIO TRES PICOS","CAMINO A TIERRA MOJADA",-92.823000,17.367370
8423,"52707","52707005","5270700503663","CAMINO A TIERRA MOJADA","",-92.821330,17.366500
8424,"52707","52707005","5270700503663","","CAMINO A TIERRA MOJADA",-92.821330,17.366500
8421,"52707","52707005","5270700503662","FRANCISCO I MADERO","TAPIJULAPA-REFORMA Y PLANADA",-92.823650,17.370250
8425,"52707","52707005","5270700503663","FRANCISCO I MADERO","TAPIJULAPA-REFORMA Y PLANADA",-92.823650,17.370250
8367,"52707","52707005","5270700503662","TAPIJULAPA-REFORMA Y PLANADA","FRANCISCO I MADERO",-92.823650,17.370250
8426,"52707","52707005","5270700503663","TAPIJULAPA-REFORMA Y PLANADA","FRANCISCO I MADERO",-92.823650,17.370250
8655,"52707","52707005","5270700503689","","AVENIDA CENTRAL",-92.815180,17.377400
8604,"52707","52707005","5270700503689","AVENIDA CENTRAL","",-92.815180,17.377400
8427,"52707","52707005","5270700503663","CAMINO A SAN ANTONIO TRES PICOS","CAMINO A TIERRA MOJADA",-92.822590,17.367770
8428,"52707","52707005","5270700503663","CAMINO A TIERRA MOJADA","CAMINO A SAN ANTONIO TRES PICOS",-92.822590,17.367770
